Park,latitude,longitude,2015 Visitors,2016 Visitors,2017 Visitors,2018 Visitors,2019 Visitors,2020 Visitors,2021 Visitors,
Great Smoky Mountains,35.68,-83.53,10.71,11.31,11.34,11.42,12.55,12.10,14.16,
Zion,37.30,-113.05,3.65,4.30,4.50,4.32,4.49,3.59,5.04,
Yellowstone,44.60,-110.50,4.10,4.26,4.12,4.12,4.02,3.81,4.86,
Grand Canyon,36.06,-112.14,5.52,5.97,6.25,6.38,5.97,2.90,4.53,
Rocky Mountain,40.40,-105.58,4.16,4.52,4.44,4.59,4.67,3.31,4.43,
Acadia,44.35,-68.21,2.81,3.30,3.51,3.54,3.44,2.67,4.07,
Grand Teton,43.73,-110.80,3.15,3.27,3.32,3.49,3.41,3.29,3.89,
Yosemite,37.83,-119.50,4.15,5.03,4.34,4.01,4.42,2.27,3.29,
Indiana Dunes,41.65,-87.05,1.64,1.70,2.16,1.76,2.13,2.29,3.18,
Glacier,48.80,-114.00,2.37,2.95,3.31,2.97,3.05,1.70,3.08,
Joshua Tree,33.79,-115.90,2.03,2.51,2.85,2.94,2.99,2.40,3.06,
Olympic,47.97,-123.50,3.26,3.39,3.40,3.10,3.25,2.50,2.72,
Cuyahoga Valley,41.24,-81.55,2.28,2.42,2.23,2.10,2.24,2.76,2.58,
Hot Springs,34.51,-93.05,1.42,1.54,1.56,1.51,1.47,1.35,2.16,
Bryce Canyon,37.57,-112.18,1.75,2.37,2.57,2.68,2.59,1.46,2.10,
Arches,38.68,-109.57,1.40,1.59,1.54,1.66,1.66,1.24,1.81,
New River Gorge,38.07,-81.08,1.18,1.20,1.17,1.23,1.20,1.05,1.68,
Mount Rainer,46.85,-121.75,1.24,1.36,1.42,1.52,1.50,1.16,1.67,
Shenandoah,38.53,-78.35,1.32,1.44,1.46,1.26,1.43,1.67,1.59,
Capitol Reef,38.20,-111.17,0.94,1.06,1.15,1.23,1.23,0.98,1.41,
